year,month,day,week,temp_2,temp_1,average,actual,friend
2019,1,1,周二,45,45,45,45,45
2019,1,2,周三,45,45,45,45,45
2019,1,3,周四,45,45,45,45,45
2019,1,4,周五,45,45,45,45,45
2019,1,5,周六,45,45,45,45,45
2019,1,6,周日,45,45,45,45,45
2019,1,7,周一,45,45,45,45,45
2019,1,8,周二,45,45,45,45,45
2019,1,9,周三,45,45,45,45,45
2019,1,10,周四,45,45,45,45,45
2019,1,11,周五,45,45,45,45,45
2019,1,12,周六,45,45,45,45,45
2019,1,13,周日,45,45,45,45,45
2019,1,14,周一,45,45,45,45,45
2019,1,15,周二,45,45,45,45,45
2019,1,16,周三,45,45,45,45,45
2019,1,17,周四,45,45,45,45,45
2019,1,18,周五,45,45,45,45,45
2019,1,19,周六,45,45,45,45,45
2019,1,20,周日,45,45,45,45,45
2019,1,21,周一,54,52,47.8,52,57
2019,1,22,周二,48,52,47.9,57,60
2019,1,23,周三,52,57,48,48,37
2019,1,24,周四,57,48,48.1,51,54
2019,1,25,周五,48,51,48.2,54,63
2019,1,26,周六,51,54,48.3,56,61
2019,1,27,周日,54,56,48.4,57,54
2019,1,28,周一,56,57,48.4,56,34
2019,1,29,周二,57,56,48.5,52,49
2019,1,30,周三,56,52,48.6,48,47
2019,1,31,周四,52,48,48.7,47,61
2019,2,1,周五,48,47,48.8,46,51
2019,2,2,周六,47,46,48.8,51,56
2019,2,3,周日,46,51,48.9,49,40
2019,2,4,周一,51,49,49,49,44
2019,2,5,周二,49,49,49.1,53,45
2019,2,6,周三,49,53,49.1,49,56
2019,2,7,周四,53,49,49.2,51,63
2019,2,8,周五,49,51,49.3,57,34
2019,2,9,周六,51,57,49.4,62,57
2019,2,10,周日,57,62,49.4,56,30
2019,2,11,周一,57,56,49.5,55,37
2019,2,12,周二,62,56,49.6,58,33
2019,2,15,周三,55,58,49.9,55,53
2019,2,16,周四,58,55,49.9,56,55
2019,2,17,周五,55,56,50,57,46
2019,2,18,周六,56,57,50.1,53,34
2019,2,19,周日,57,53,50.2,51,42
2019,2,20,周一,53,51,50.4,53,43
2019,2,21,周二,51,53,50.5,51,46
2019,2,22,周三,53,51,50.6,51,59
2019,2,23,周四,51,51,50.7,60,43
2019,2,24,周五,51,60,50.8,59,46
2019,2,25,周六,60,59,50.9,61,35
2019,2,26,周日,59,61,51.1,60,65
2019,2,27,周一,61,60,51.2,57,61
2019,2,28,周二,60,57,51.3,53,66
2019,3,1,周三,53,54,51.5,58,53
2019,3,2,周四,54,58,51.6,55,37
2019,3,3,周五,58,55,51.8,59,71
2019,3,4,周六,55,59,51.9,57,45
2019,3,5,周日,59,57,52.1,64,46
2019,3,6,周一,57,64,52.2,60,49
2019,3,7,周二,64,60,52.4,53,71
2019,3,8,周三,60,53,52.5,54,70
2019,3,9,周四,53,54,52.7,55,57
2019,3,10,周五,54,55,52.8,56,50
2019,3,11,周六,55,56,53,55,36
2019,3,12,周日,56,55,53.1,52,65
2019,3,13,周一,55,52,53.3,54,54
2019,3,14,周二,52,54,53.4,49,44
2019,3,15,周三,54,49,53.6,51,70
2019,3,16,周四,49,51,53.7,53,65
2019,3,17,周五,51,53,53.9,58,62
2019,3,18,周六,53,58,54,63,56
2019,3,19,周日,58,63,54.2,61,62
2019,3,20,周一,63,61,54.3,55,50
2019,3,21,周二,61,55,54.5,56,52
2019,3,22,周三,55,56,54.6,57,64
2019,3,23,周四,56,57,54.7,53,70
2019,3,24,周五,57,53,54.9,54,72
2019,3,25,周六,53,54,55,57,42
2019,3,26,周日,54,57,55.2,59,54
2019,3,27,周一,57,59,55.3,51,39
2019,3,28,周二,59,51,55.5,56,47
2019,3,29,周三,51,56,55.6,64,45
2019,3,30,周四,56,64,55.7,68,57
2019,3,31,周五,64,68,55.9,73,56
2019,4,1,周六,68,73,56,71,41
2019,4,2,周日,73,71,56.2,63,45
2019,4,3,周一,71,63,56.3,69,64
2019,4,4,周二,63,69,56.5,60,45
2019,4,5,周三,69,60,56.6,57,72
2019,4,6,周四,60,57,56.8,68,64
2019,4,7,周五,57,68,56.9,77,38
2019,4,8,周六,68,77,57.1,76,41
2019,4,9,周日,77,76,57.2,66,74
2019,4,10,周一,76,66,57.4,59,60
2019,4,11,周二,66,59,57.6,58,40
2019,4,12,周三,59,58,57.7,60,61
2019,4,13,周四,58,60,57.9,59,77
2019,4,14,周五,60,59,58.1,59,66
2019,4,15,周六,59,59,58.3,60,40
2019,4,16,周日,59,60,58.5,68,59
2019,4,17,周一,60,68,58.6,77,54
2019,4,18,周二,68,77,58.8,89,39
2019,4,19,周三,77,89,59,81,61
2019,4,20,周四,89,81,59.2,81,66
2019,4,21,周五,81,81,59.4,73,55
2019,4,22,周六,81,73,59.7,64,59
2019,4,23,周日,73,64,59.9,65,57
2019,4,24,周一,64,65,60.1,55,41
2019,4,25,周二,65,55,60.3,59,77
2019,4,26,周三,55,59,60.5,60,75
2019,4,27,周四,59,60,60.7,61,50
2019,4,28,周五,60,61,61,64,73
2019,4,29,周六,61,64,61.2,61,49
2019,4,30,周日,64,61,61.4,68,78
2019,5,1,周一,61,68,61.6,77,75
2019,5,2,周二,68,77,61.9,87,59
2019,5,3,周三,77,87,62.1,74,69
2019,5,4,周四,87,74,62.3,60,61
2019,5,5,周五,74,60,62.5,68,56
2019,5,6,周六,60,68,62.8,77,64
2019,5,7,周日,68,77,63,82,83
2019,5,8,周一,77,82,63.2,63,83
2019,5,9,周二,82,63,63.4,67,64
2019,5,10,周三,63,67,63.6,75,68
2019,5,11,周四,67,75,63.8,81,60
2019,5,12,周五,75,81,64.1,77,81
2019,5,13,周六,81,77,64.3,82,67
2019,5,14,周日,77,82,64.5,65,65
2019,5,15,周一,82,65,64.7,57,58
2019,5,16,周二,65,57,64.8,60,53
2019,5,17,周三,57,60,65,71,55
2019,5,18,周四,60,71,65.2,64,56
2019,5,19,周五,71,64,65.4,63,56
2019,5,20,周六,64,63,65.6,66,73
2019,5,21,周日,63,66,65.7,59,49
2019,5,22,周一,66,59,65.9,66,80
2019,5,23,周二,59,66,66.1,65,66
2019,5,24,周三,66,65,66.2,66,67
2019,5,25,周四,65,66,66.4,66,60
2019,5,26,周五,66,66,66.5,65,85
2019,5,27,周六,66,65,66.7,64,73
2019,5,28,周日,65,64,66.8,64,64
2019,5,29,周一,64,64,67,64,76
2019,5,30,周二,64,64,67.1,71,69
2019,5,31,周三,64,71,67.3,79,85
2019,6,1,周四,71,79,67.4,75,58
2019,6,2,周五,79,75,67.6,71,77
2019,6,3,周六,75,71,67.7,80,55
2019,6,4,周日,71,80,67.9,81,76
2019,6,5,周一,80,81,68,92,54
2019,6,6,周二,81,92,68.2,86,71
2019,6,7,周三,92,86,68.3,85,58
2019,6,8,周四,86,85,68.5,67,81
2019,6,9,周五,85,67,68.6,65,80
2019,6,10,周六,67,65,68.8,67,73
2019,6,11,周日,65,67,69,65,87
2019,6,12,周一,67,65,69.1,70,83
2019,6,13,周二,65,70,69.3,66,79
2019,6,14,周三,70,66,69.5,60,85
2019,6,15,周四,66,60,69.7,67,69
2019,6,16,周五,60,67,69.8,71,87
2019,6,17,周六,67,71,70,67,54
2019,6,18,周日,71,67,70.2,65,77
2019,6,19,周一,67,65,70.4,70,58
2019,6,20,周二,65,70,70.6,76,79
2019,6,21,周三,70,76,70.8,73,57
2019,6,22,周四,76,73,71,75,78
2019,6,23,周五,73,75,71.3,68,56
2019,6,24,周六,75,68,71.5,69,65
2019,6,25,周日,68,69,71.7,71,89
2019,6,26,周一,69,71,71.9,78,70
2019,6,27,周二,71,78,72.2,85,84
2019,6,28,周三,78,85,72.4,79,67
2019,6,29,周四,85,79,72.6,74,81
2019,6,30,周五,79,74,72.8,73,87
2019,7,1,周六,74,73,73.1,76,93
2019,7,2,周日,73,76,73.3,76,84
2019,7,3,周一,76,76,73.5,71,85
2019,7,4,周二,76,71,73.8,68,86
2019,7,5,周三,71,68,74,69,62
2019,7,6,周四,68,69,74.2,76,86
2019,7,7,周五,69,76,74.4,68,72
2019,7,8,周六,76,68,74.6,74,77
2019,7,9,周日,68,74,74.9,71,60
2019,7,10,周一,74,71,75.1,74,95
2019,7,11,周二,71,74,75.3,74,71
2019,7,12,周三,74,74,75.4,77,71
2019,7,13,周四,74,77,75.6,75,56
2019,7,14,周五,77,75,75.8,77,77
2019,7,15,周六,75,77,76,76,75
2019,7,16,周日,77,76,76.1,72,61
2019,7,17,周一,76,72,76.3,80,88
2019,7,18,周二,72,80,76.4,73,66
2019,7,19,周三,80,73,76.6,78,90
2019,7,20,周四,73,78,76.7,82,66
2019,7,21,周五,78,82,76.8,81,84
2019,7,22,周六,82,81,76.9,71,70
2019,7,23,周日,81,71,77,75,86
2019,7,24,周一,71,75,77.1,80,75
2019,7,25,周二,75,80,77.1,85,81
2019,7,26,周三,80,85,77.2,79,74
2019,7,27,周四,85,79,77.3,83,79
2019,7,28,周五,79,83,77.3,85,76
2019,7,29,周六,83,85,77.3,88,77
2019,7,30,周日,85,88,77.3,76,70
2019,7,31,周一,88,76,77.4,73,95
2019,8,1,周二,76,73,77.4,77,65
2019,8,2,周三,73,77,77.4,73,62
2019,8,3,周四,77,73,77.3,75,93
2019,8,4,周五,73,75,77.3,80,66
2019,8,5,周六,75,80,77.3,79,71
2019,8,6,周日,80,79,77.2,72,60
2019,8,7,周一,79,72,77.2,72,95
2019,8,8,周二,72,72,77.1,73,65
2019,8,9,周三,72,73,77.1,72,94
2019,8,10,周四,73,72,77,76,68
2019,8,11,周五,72,76,76.9,80,80
2019,8,12,周六,76,80,76.9,87,81
2019,8,13,周日,80,87,76.8,90,73
2019,8,14,周一,87,90,76.7,83,65
2019,8,15,周二,90,83,76.6,84,70
2019,8,16,周三,83,84,76.5,81,90
2019,8,23,周四,84,81,75.7,79,89
2019,8,28,周五,81,79,75,75,85
2019,8,30,周六,79,75,74.6,70,63
2019,9,3,周日,75,70,73.9,67,68
2019,9,4,周一,70,67,73.7,68,64
2019,9,5,周二,67,68,73.5,68,54
2019,9,6,周三,68,68,73.3,68,79
2019,9,7,周四,68,68,73,67,70
2019,9,8,周五,68,67,72.8,72,56
2019,9,9,周六,67,72,72.6,74,78
2019,9,10,周日,72,74,72.3,77,91
2019,9,11,周一,74,77,72.1,70,70
2019,9,12,周二,77,70,71.8,74,90
2019,9,13,周三,70,74,71.5,75,82
2019,9,14,周四,74,75,71.2,79,77
2019,9,15,周五,75,79,71,71,64
2019,9,16,周六,79,71,70.7,75,52
2019,9,17,周日,71,75,70.3,68,84
2019,9,18,周一,75,68,70,69,90
2019,9,19,周二,68,69,69.7,71,88
2019,9,20,周三,69,71,69.4,67,81
2019,9,21,周四,71,67,69,68,76
2019,9,22,周五,67,68,68.7,67,56
2019,9,23,周六,68,67,68.3,64,61
2019,9,24,周日,67,64,68,67,64
2019,9,25,周一,64,67,67.6,76,62
2019,9,26,周二,67,76,67.2,77,74
2019,9,27,周三,76,77,66.8,69,64
2019,9,28,周四,77,69,66.5,68,62
2019,9,29,周五,69,68,66.1,66,57
2019,9,30,周六,68,66,65.7,67,74
2019,10,1,周日,66,67,65.3,63,54
2019,10,2,周一,67,63,64.9,65,82
2019,10,3,周二,63,65,64.5,61,49
2019,10,4,周三,65,61,64.1,63,60
2019,10,5,周四,61,63,63.7,66,48
2019,10,6,周五,63,66,63.3,63,55
2019,10,7,周六,66,63,62.9,64,78
2019,10,8,周日,63,64,62.5,68,73
2019,10,9,周一,64,68,62.1,57,55
2019,10,10,周二,68,57,61.8,60,62
2019,10,11,周三,57,60,61.4,62,58
2019,10,12,周四,60,62,61,66,52
2019,10,13,周五,62,66,60.6,60,57
2019,10,14,周六,66,60,60.2,60,78
2019,10,15,周日,60,60,59.9,62,46
2019,10,16,周一,60,62,59.5,60,40
2019,10,17,周二,62,60,59.1,60,62
2019,10,18,周三,60,60,58.8,61,53
2019,10,19,周四,60,61,58.4,58,41
2019,10,20,周五,61,58,58.1,62,43
2019,10,21,周六,58,62,57.8,59,44
2019,10,22,周日,62,59,57.4,62,44
2019,10,23,周一,59,62,57.1,62,67
2019,10,24,周二,62,62,56.8,61,70
2019,10,25,周三,62,61,56.5,65,70
2019,10,26,周四,61,65,56.2,58,41
2019,10,27,周五,65,58,55.9,60,39
2019,10,28,周六,58,60,55.6,65,52
2019,10,29,周日,60,65,55.3,68,65
2019,10,31,周一,65,117,54.8,59,62
2019,11,1,周二,117,59,54.5,57,61
2019,11,2,周三,59,57,54.2,57,70
2019,11,3,周四,57,57,53.9,65,35
2019,11,4,周五,57,65,53.7,65,38
2019,11,5,周六,65,65,53.4,58,41
2019,11,6,周日,65,58,53.2,61,71
2019,11,7,周一,58,61,52.9,63,35
2019,11,8,周二,61,63,52.7,71,49
2019,11,9,周三,63,71,52.4,65,42
2019,11,10,周四,71,65,52.2,64,38
2019,11,11,周五,65,64,51.9,63,55
2019,11,12,周六,64,63,51.7,59,63
2019,11,13,周日,63,59,51.4,55,64
2019,11,14,周一,59,55,51.2,57,42
2019,11,15,周二,55,57,51,55,46
2019,11,16,周三,57,55,50.7,50,34
2019,11,17,周四,55,50,50.5,52,57
2019,11,18,周五,50,52,50.3,55,35
2019,11,19,周六,52,55,50,57,56
2019,11,20,周日,55,57,49.8,55,30
2019,11,21,周一,57,55,49.5,54,67
2019,11,22,周二,55,54,49.3,54,58
2019,11,23,周三,54,54,49.1,49,38
2019,11,24,周四,54,49,48.9,52,29
2019,11,25,周五,49,52,48.6,52,41
2019,11,26,周六,52,52,48.4,53,58
2019,11,27,周日,52,53,48.2,48,53
2019,11,28,周一,53,48,48,52,44
2019,11,29,周二,48,52,47.8,52,50
2019,11,30,周三,52,52,47.6,52,44
2019,12,1,周四,52,52,47.4,46,39
2019,12,2,周五,52,46,47.2,50,41
2019,12,3,周六,46,50,47,49,58
2019,12,4,周日,50,49,46.8,46,53
2019,12,5,周一,49,46,46.6,40,65
2019,12,6,周二,46,40,46.4,42,56
2019,12,7,周三,40,42,46.3,40,62
2019,12,8,周四,42,40,46.1,41,36
2019,12,9,周五,40,41,46,36,54
2019,12,10,周六,41,36,45.9,44,65
2019,12,11,周日,36,44,45.7,44,35
2019,12,12,周一,44,44,45.6,43,42
2019,12,13,周二,44,43,45.5,40,46
2019,12,14,周三,43,40,45.4,39,49
2019,12,15,周四,40,39,45.3,39,46
2019,12,16,周五,39,39,45.3,35,39
2019,12,17,周六,39,35,45.2,35,38
2019,12,18,周日,35,35,45.2,39,36
2019,12,19,周一,35,39,45.1,46,51
2019,12,20,周二,39,46,45.1,51,62
2019,12,21,周三,46,51,45.1,49,39
2019,12,22,周四,51,49,45.1,45,38
2019,12,23,周五,49,45,45.1,40,35
2019,12,24,周六,45,40,45.1,41,39
2019,12,25,周日,40,41,45.1,42,31
2019,12,26,周一,41,42,45.2,42,58
2019,12,27,周二,42,42,45.2,47,47
2019,12,28,周三,42,47,45.3,48,58
2019,12,29,周四,47,48,45.3,48,65
2019,12,30,周五,48,48,45.4,57,42
2019,12,31,周六,48,57,45.5,40,57
